SchemaName,TableName,SourceNotNULLCount,TargetNotNULLCount
edw,tblMLS2016PriceTier,0,0
edw,tblMLSDim,5,5
edw,tblMobileLegacySpecialProcessing,4,4
edw,tblMonthDim,9,9
edw,tblMSADim,8,8
edw,tblNewHomesPlanDim,6,5
edw,tblNewHomesSubdivisionDim,6,5
edw,tblNonTurboListingDim,4,4
edw,tblOfficeBrokerBridgeFact,1,1
edw,tblOfficeDim,28,27
edw,tblOfficeDim_Legacy,11,10
edw,tblOfficeListingCountFact,10,10
edw,tblOfficePartyIDMonthlyLDP,5,5
edw,tblOmnitureRDCTrafficDim,1,1
edw,tblOmnitureRDCTrafficFact,0,0
edw,tblOmnitureUUVisitsFact,4,4
edw,tblOrderDim,3,3
edw,tblPageActivityDailySnapshotFact_FastLoad,14,14
edw,tblPageClassificationBridge,2,2
edw,tblPageClassificationDim,1,1
edw,tblPageDim,4,4
edw,tblPageDim_FastLoad,4,4
edw,tblPeriodAggregatesSpecialProcessing,15,15
edw,tblPeriodAggregatesSpecialProcessing_NEW,15,15
edw,tblPeriodTypeDim,3,3
edw,tblPhoneTrackingFact,3,3
edw,tblPlaceOnThePageDim,4,4
edw,tblPlaceOnThePageDim_FastLoad,4,4
edw,tblPORCHLeadDataDim,2,2
edw,tblProductClassificationDim,5,5
edw,tblProductDim,9,9
edw,tblProductSetDim,6,6
edw,tblPropertyDim,13,12
edw,tblQuarterDim,6,6
edw,tblRDCAdTypeClassificationBridge,2,2
edw,tblRDCAdTypeClassificationDim,9,9
edw,tblRDCAdTypeDim_FastLoad,4,4
edw,tblRDCFulfillmentProductDim,5,4
edw,tblRDCListingProductBridgeFact,8,7
edw,tblRecomendedSlots,0,0
edw,tblRefElementDim,4,4
edw,tblRefElementDim_FastLoad,4,4
edw,tblRegionDim,7,7
edw,tblSendEmailDetail,1,1
edw,tblSeniorLeadManagmentList,1,1
edw,tblSiebelAccountDim,1,1
edw,tblSiebelBOPContactDim,1,1
edw,tblSiebelContractDim,1,1
edw,tblSiebelProductDim,4,4
edw,tblSiebelProductGrouping,1,1
edw,tblSiebelProductPriceListDim,4,4
edw,tblSiteSectionDim,2,2
edw,tblSiteSectionFact,0,0
edw,tblSiteSectionMeasureNameDim,1,1
edw,tblSlot_Details,13,13
edw,tblSmallSlotBigSlotTier,0,0
edw,tblSourceApplicationDim,4,4
edw,tblSourceApplicationDim_FastLoad,4,4
edw,tblSourceBrandDim,4,4
edw,tblSourceClassificationDim,8,8
edw,tblTeamCustomerBridge,12,12
edw,tblTeamDim,9,8
edw,tblTigerLeadContractDim,1,1
edw,tblTigerLeadReasonDim,6,5
edw,tblTimeDim,9,9
edw,tblTimeZoneDim,11,11
edw,tblTopProducerContractDim,1,1
edw,tblTurboForecastByCityMonth,6,6
edw,tblUmbrellaContractBOPDim,4,4
edw,tblUserAgentDim,2,2
edw,tblUSPSGeographyDim,25,25
edw,tblWidgetDim,2,2
edw,tblWidgetDim_FastLoad,2,2
edw,tblxADVERTISER,2,2
edw,tblYearDim,5,5
KPIFramework,tblListingStatusDim,4,4
KPIFramework,tblListingTypeDim,4,4
KPIFramework,tblMeasureNameDim,8,8
KPIFramework,tblMeasureSourceBridgeDim,8,8
KPIFramework,tblMetricAggregateFact,2,2
KPIFramework,tblMetricController,2,2
KPIFramework,tblMetricTransformationController,13,13
KPIFramework,tblSourceDataLoadController,7,7
ListingCube,tblListingAgeRangeDim,3,3
ListingCube,tblListingLivingRangeSqFtDim,3,3
ListingCube,tblListingMarketTrendsByCityMonth,0,0
ListingCube,tblListingMarketTrendsByCountyMonth,0,0
ListingCube,tblListingMarketTrendsByNeighborhoodMonth,0,0
ListingCube,tblListingMarketTrendsByStateMonth,0,0
ListingCube,tblListingMarketTrendsByZipMonth,0,0
ListingCube,tblListingMLSDim,2,2
